"","prod","title","author","date","stars","comments"
"1","Pandora","So far I really like it, but have only scratched the surface","meme22","December 28, 2014",4,"Just getting started with Pandora.  So far I really like it, but have only scratched the surface.  Got an IHome wireless speaker for my Kindle Fire HDX so I can not have music I like wherever I like.  There are commercials, but are not terribly annoyin."
"2","Pandora","Highly recommended","Buck Ziffero","February 5, 2014",5,"I have been a Pandora user for quite some time. I use it on all my computers at home and at my office.  I appreciate the fact that I can input the artists and style of music I prefer. If something is played I would rather not listen to again I can input that fact. I can listen to my playlist randomly, or select a particular artist/style to play.  I recently upgraded to a Kindle Fire HDX, and can now play music while I'm reading or anything else I may be doing on the Kindle.  I have tried several other downloadable music sites, and have found Pandora to be the most versatile and have the greatest choice of music as well as being the easiest to use."
"3","Pandora","Five Stars","mike 1","January 1, 2015",5,"awesome"
"4","Pandora","Five Stars","Mary M Reed","August 16, 2017",5,"I love hearing my favorite tunes."
"5","Pandora","Like it!","Adrienne Englund","February 4, 2013",4,"Panadora is one of my favorite FREE apps.  I use this app all the time when working out, and I love the variety of music they have for free on here!  I just downloaded this to my Kindle as my son loves music and now he can listen to it on the kindle as well!  Other than the ""Pop and Hip Hop Power workout"" station playin OLDIES (not sure why this is) I have no issues and love Pandora!"
"6","Pandora","Pandora is a great app for music play","BRK","November 10, 2015",4,"Pandora is a great app for music play. Upside is that you can create any list you want .... down side is that there is not enough different music added to your selected playlist type."
"7","Pandora","All My Genre","Kludge","September 13, 2013",5,"This is really great sound.What a concept!  Just start a station off and it keeps adding same genre songs.Tired of that genre, start another station off and it keeps building, too.Tomorrow want some of the same, then maybe something different, start another station, or start an old one.Thumbs down those songs you don't want and they are gone.  Thumbs up those to tweak the selections of the future songs.Great deal, and no advertisements.I definitely recommend!"
"8","Pandora","I like the service but find the app not very intuitive ...","Amazon Customer","February 16, 2016",4,"I like the service but find the app not very intuitive in terms of use. Perhaps a link to instructions on how best to set up your own channels would be helpful."
"9","Pandora","The music is great, the commercials are a pain","Norman R","December 10, 2012",3,"I guess that's the point of free versus subscription service, but the commercials have become more frequent and more intrusive. Before they used to be just quick announcer-based commercials, now they are full blown professionally produced commercials just like you would hear on commercial radio. They are very irritating, to say the least."
"10","Pandora","Five Stars","Rodney Phillips","May 16, 2017",5,"Just love it"
"11","Pandora","Five Stars","Vincent Frese","June 2, 2016",5,"Very good"
"12","Pandora","Is awesome.. Its great to hear songs you remember ...","Alice B.","April 25, 2016",5,"Every song I choose or radio artist..Is awesome..Its great to hear songs you remember as a Rockin young person,and is just as fun now to listen!"
"13","Pandora","I love Pandora","Barb","October 22, 2013",5,"I have Pandora on my iphone and my laptop.  I love listening to what I want while I'm cooking dinner.  It's a great app."
"14","Pandora","love it.","William Ayres","December 3, 2016",4,"at first it didnt work right, cork left in bottle, however now it works perfectly.  love it."
"15","Pandora","What happened?","Shannon R.","August 24, 2013",2,"I've only had this app for a week and already problems! Worked like a charm until I had it exactly one week then it refused to load further than the blue Pandora screen! I completely removed it deleted the purchase and downloaded again for it to only do the same thing the next day! I hope this is just a bug that can be worked out because I love Pandora!"
"16","Pandora","Highly Recommended","Mortimer","July 20, 2016",5,"I have been using Pandora Radio for years, I love the stations I have created and I'm always surprised at the song choices they suggest, hidden treasures or forgotten favorites!"
"17","Pandora","Music","Tom J Schill","December 15, 2016",5,"I enjoy the selection of music gendra.  I turn on Pandora and listen all day to the music"
"18","Pandora","Great App","Blueyezgirlie","January 14, 2013",5,"I use the app all the time. Works great on my phone and Tablet. Can't live without it! Easy to install and free!"
"19","Pandora","Simply Love It!!!!!!!!!!!!","Sukey","November 17, 2012",5,"Pandora app is the best!  If you love music and you simply want some relaxation music or want to get up and dance, Pandora has it all.  The sound on the Kindle Fire HD is simply a knock out.  Cannot believe that sound comes out of that thin piece of amazement!!!!  Truly, I recommend getting the full version of this app.  It is not much and is totally worth it.Thanks to Pandora and amazon.com."
"20","Pandora","Pandora!","Hattsfam","March 29, 2013",5,"I have the free version.  Every now and then it asks if you are still listening and/or you hear a few ads, but I don't find it annoying enough to upgrade and pay monthly for it.  The genre picked does tend to play the same songs over and over, but there are many options to choose from and change the genre playing to change up the songs whenever you want. Can't beat it for free!!??"
"21","Pandora","Good App","Got2bfree","June 3, 2016",4,"Good App"
"22","Pandora","Four Stars","Brandon Roberts","February 6, 2015",4,"Works as expected"
"23","Pandora","I absolutely love Pandora! We are constantly playing it in my ...","Sheryl McDaniel","May 18, 2016",5,"I absolutely love Pandora!  We are constantly playing it in my home when it is time to do some housework...and I play it at work some too."
"24","Pandora","Great music and cmedy!","Joe Gervase","September 19, 2016",5,"I have been listening to Pandora fr years now and the mix is great. I have approximately 20 channels defined."
"25","Pandora","Best Music Player out there!","Mike Enriquez","May 26, 2016",5,"I love that I get to listen to whatever I want whenever I want. The music quality is as good as I want to make it. PANDORA is EXCELLENT!"
"26","Pandora","What a waste of","Eric J.","August 1, 2015",1,"Stopped working immediately and had to call Pandora.  Next use was equal to one song at a time. After screwing with it for way too long, just changed to a different streaming program.  What a waste of time"
"27","Pandora","love it","Ida Hudson","January 31, 2013",5,"well you cant go wrong with Pandora in the first place. Awesome music, the lyrics to sing by and easy to use"
"28","Pandora","nothing evil in THIS box!","Bun-Bun Baxter","August 1, 2015",4,"Being able to pick ""stations"" for your favorite music means very little you dislike, though Pandora limits the number of pieces you can skip through, and there are ads unless you pay to avoid them."
"29","Pandora","Five Stars","Mark Cusenz","September 27, 2017",5,"I Love It !!! Listen all day at work, makes the day a whole lot easier !!"
"30","Pandora","I want to stop my subscription","juan","May 23, 2017",1,"I want to cancel the subscription to stop the payment and it won't let me"
"31","Pandora","The internet music standard - for good reason","PghDrake","March 20, 2013",5,"This app has always made advances with internet radio and doesn't disappoint.  It's very rare that there are issues with the app or the connection (as long as you have a good WiFi connection of course).  You can set up your own channels and listen to everything from rock to classical to comedy bits.An excellent app that everyone should have, in my opinion.-D"
"32","Pandora","Love using Pandora","Bethany","November 29, 2016",5,"Love using Pandora. It has great variety and I am able to even hook into it on my cable box."
"33","Pandora","Really wonderful that is adapts to play music that you like","Amazon Customer","March 10, 2016",3,"Really wonderful that is adapts to play music that you like. The only problem is it has loading problems. It can take a long time to start the next song."
"34","Pandora","Very Happy","C. Fernandes","January 29, 2017",5,"I am a big fan of Pandora and listen to it often. The app works very well.and was free."
"35","Pandora","Five Stars","Austin","January 23, 2017",5,"Fun to create your own ""stations"" and Pandora does well in selecting the tunes."
"36","Pandora","Good App","Peter","January 1, 2017",4,"This App was installed on the daughter's new 8"" Fire HD and she likes it very much."
"37","Pandora","Five Stars","Mr. James A, Sanchez","January 5, 2017",5,"Love Pandora, hate the still listening and ads but I just too cheap to upgrade, Oh well"
"38","Pandora","Pandora Media","Vernell Sullivan","January 23, 2014",5,"I have just applied Pandora and really do like it.  I plan to utilize this item to a great extent."
"39","Pandora","Pandora with Bose Mini Bluetooth Speaker! Wonderful","mike toscano","January 8, 2014",4,"Always enjoy my Pandora. Now that I have a mini Bose blue tooth speaker it's even better.I listen tall all my favorite channels at home and now at work.I have the premium Pandora with no commercials. It's wonderful.Mozart to Joe Walsh to Muddy Water. What a way to listen to uninterpreted music all day long."
"40","Pandora","great streaming music...","Marc Albin","February 20, 2016",5,"I love my Pandora, it is the best next to amazon music... I use it all of the time, it helps me when I am cleaning keeps me going... Wide variety of music..."
"41","Pandora","Ads cost Pandora a !!!","Amazon Customer","November 22, 2016",4,"Four stars because of advertising, would be better without ads and no charge to remove them !"
"42","Pandora","Very Nice","suitedzombie","November 15, 2015",4,"Pandora is overall a great listening station. I mean, you can't get any better than free. Even better, every device linked with one account will share the same stations. If I had one thing to say, it's the ads. About 2 of them come on every 2-3 songs. And considering the fact that the same ads play all the time, it can get quite irritating. Great app though. :)"
"43","Pandora","Works But Nothing is Free","Amazon Customer","October 22, 2015",2,"You don't get something for nothing.  This works but I've read that it enables personal information to be sent to the company about your habits, contacts, pictures, etc.  I took it off."
"44","Pandora","love it","Amazon Customer","February 27, 2014",4,"Awesome app. Really wish the kindle version didn't take off the sleep timer though. I miss that feature, can't fall asleep to the music anymore because I have to wake up to turn it off. Sigh. Other than that I love this for everything else. Music is in everything I breathe and Pandora almost always plays my moods."
"45","Pandora","Five Stars","Lannette","July 18, 2017",5,"I love me some PANDORA would not change for anything unless it's better."
"46","Pandora","Wonderful!!!","Ardie","April 16, 2014",5,"So enjoy the variety and easy of use.  I carry it with me and it helps me keep working. Thanks!!!!"
"47","Pandora","went wrong since last update -.-","Amazon Customer","November 3, 2015",2,"Last update does not allow you to stop playing your music, stop playing, skip a song, nor like or dislike it unless you are inside the app. Plus it stops playing by itself randomely."
"48","Pandora","One Star","broron","July 18, 2017",1,"Don't know they would not except my account."
"49","Pandora","Five Stars","Amazon Customer","August 24, 2017",5,"Good"
"50","Pandora","Pandora is awesome. It is free music","Trey","April 7, 2015",4,"Pandora is awesome. It is free music. Type in a song, album or artist and you get that plus similar music. And its all for free? I use it for Moon Hooch and Mickey Avalon radio. Better than radio, satellite and Youtube for music."
"51","Pandora","The app does what it is meant to do","Benjamin Thomas Rath","February 25, 2015",4,"The app does what it is meant to, open a direct link to your Pandora account. It doesn't do anything else because it doesn't have too. You could accomplish the same effect by creating a short cut, but I find this slightly more convenient."
"52","Pandora","1st app","Reader in the Midwest","July 14, 2013",5,"This was my 1st app on my new KFHD & I love it. The device has good speakers & w/Pandora you can program your favorites. Wish there were no audio ads but the app was free so why complain?! I had to go to Amazon's Kindle support to figure out where it was on my KFHD once I downloaded it but that's not the fault of the app. Pleased to have it & esp at no cost."
"53","Pandora","pandora","Nancy Weimer","August 29, 2013",5,"I love the pandora.  It's easy to use and works great.  I would yell anyone that ask me that they will love it."
"54","Pandora","Five Stars","Me","August 24, 2014",5,"Greatest ever"
"55","Pandora","Really enjoyed the new app","William","September 17, 2015",5,"Really enjoyed the new app, as my wife has been using Pandora for years now.  I love the various categories of music which allows you to play tailor towards your favorites.  I waited too long."
"56","Pandora","Pandora is amazing -- a huge value in my life!","Andrew Cohen","January 1, 2015",5,"I love their service of providing super music all the time.  I love these dedicated stations of mine.  The three main ones are early classical (when I'm working), piano jazz when I'm doing light tasks and driving, and classical guitar while dining."
"57","Pandora","Great music","Amazon Customer","September 13, 2016",5,"Constant good music, always accessible, for all occasions! Makes it enjoyable to listen all day a and night."
"58","Pandora","I liked the music but it took over my phone and ...","Marlenia P.","April 8, 2016",2,"I liked the music but it took over my phone and would not let me turn it off. I had to contact mayday to fix it, then I removed it from my phone."
"59","Pandora","One Star","Amazon Customer","May 2, 2017",1,"Not available in South Africa, such a pity!"
"60","Pandora","commercials","Tom M.","March 28, 2014",4,"Music is great, but nothing in life is free. A few to many commercials. Some times I struggle to find stop button. They call it quit"
"61","Pandora","Pandora on Kindle is a great combination.","Bryan C Seymour","December 9, 2013",5,"Pandora has become my go to place to experience new music. I'm still old school enough to find an artist I like and then buy the CD (soon I'll be buying the vinyl). The Pandora app runs great on my Kindle Fire, so now I find myself doing more ""music research"" when laying in bed before I turn the lights out for the night."
"62","Pandora","I love it","Linda K.","January 31, 2017",5,"Although I basicly stay on one channel it is awesome, they always play the best songs"
"63","Pandora","I enjoy listening to the mix of music that happens as ...","Whits End","December 31, 2014",5,"I enjoy listening to the mix of music that happens as Pandora interprets my likes and dislikes.  It is very easy to use, easy to pick your own type of music, and easy to say 'I don't like that' when something is introduced that grates on my nerves."
"64","Pandora","Not as good","Dennis M. Philpot","December 29, 2016",3,"It used to be a lot better.  They still play good music but have too many commercials"
"65","Pandora","Four Stars","Marvin R.","January 7, 2017",4,"I guess after you get good with it, it may be good. Until then it is quite difficult."
"66","Pandora","Pandora used to be good, until they added strict limits on how many ...","Josh","September 5, 2016",2,"Pandora used to be good, until they added strict limits on how many songs you could skip during the whole day and shoved a commercial down your throat every other song. There's way better options out there."
"67","Pandora","Five Stars","Emmanuel Dada","June 3, 2016",5,"Great"
"68","Pandora","Great Music, more choices,","Charlotte Ragan","December 7, 2013",5,"It works for me.  I love it.  I live in an apartment building and my neighbors say they hear Pandora coming from my apt. and love the music.  Some also use it.  I'm 66 years old and find it difficult to listen to my car radio.  There is less music on the car radio then ever before.  I like having choices and with Pandora you do."
"69","Pandora","Freedom to listen to the songs you really love","Sunflower","January 28, 2014",5,"I like that I can select the songs and artists that I like to listen to, and I can give songs it ads that are similar a thumbs up or down.  Also I can listen to Pandora while I play games on my Kindle fire. Thanks to my grandson for telling me about Pandora as he also uses it, and he showed me how to use it.  Love it."
"70","Pandora","Awesome customizability yall","Amazon Customer","July 7, 2016",5,"Love this app.  I know its been around for years now but I just decided to check it out.  Love customizing my own stations."
"71","Pandora","Pandora service","Little Al","April 1, 2014",4,"I enjoyed using this program until they raised the price of the service. It is a one of a kind program  because I could develope the music folks I listen to most offen. Now I just stream the general music I like. The Pandora music program is still free to use but with advertising coming on every so often."
