"","prod","title","author","date","stars","comments"
"1","Amazon","i like it better than pandora","mob","March 28, 2016",5,"love this music app great selection better than pandora use it on my samsung phone not happy however that i cannot seem to get the app on my samsung smart tv i get the amazon cloud app but not the amazon music app the amazon cloud app does not seem intergrated with the amazon music app thanks "
"2","Amazon","in order for this to be of value you must use it daily or it s just not worth payhing a year in advance for it","William Davidson","June 30, 2016",3,"lots of product but i just didn t use it enough to justify spending over a 100 dollars a year on this plus they make you pay a year in advance and you can t pay monthly which sucks maybe if they started charging monthly i d sign up again the free 2 days shipping on products was goo thought but i never watched a movie or listened to a song on amazon "
"3","Amazon","amazon music is great i don t know why i didn t get it","Nolan","October 3, 2017",5,"amazon music is great i don t know why i didn t get it sooner love it "
"4","Amazon","glad to be able to get the music as a prime member","L..Gerry","April 27, 2016",4,"love that you can download music as a amazon prime member just was a little confusing for me when it asked certain questions on where to store songs and also if there was a charge for the songs that is the only reason i did 4 stars i am not quite as tech savy as some of the younger people so just would have liked a little more explanation love having the music though "
"5","Amazon","five stars","jan0019","April 10, 2017",5,"works great"
"6","Amazon","not happy","Kirby","August 17, 2015",1,"in addition to the ridiculous list of things it wants access to this app would not let me log in to my own prime profile it kept logging me in under my mother even when i put my own email and password in multiple times she doesn t have amazon prime or any of my music so all the music i just saved to my library apparently is now worthless i guess i just go back to spotify at least that s a lot easier to use and lets me log in to my own profile "
"7","Amazon","amazon does it again","Rebecca Combs","June 17, 2015",5,"this has been a great benefit of being a prime member its has almost infinite playlists and music geared towards everyone and everything i love the thumb up thumbs down options that allow you to make your preferences known plus the ability to download whole albums or just single songs it brings up new artists you might like and has stations for whole genres or just specific artists that also play their musical colleagues great product or service from amazon again "
"8","Amazon","five stars","roskodolly","October 4, 2017",5,"love my country "
"9","Amazon","five stars","Amazon Customer","October 6, 2017",5,"works great"
"10","Amazon","loving the selection so far","Paula Rivers","May 2, 2016",5,"just started using amazon music but so far i am really liking it i was easily able to find music that i liked and out it where i can listen to only what i want to listen to lots to choose from and i have barely begun to look my only issue is that now my son is asking me non stop for my phone so he can listen too as long as he stays in my country world all will be well "
"11","Amazon","not bad considering its free","Saul Castillo","June 20, 2014",4,"decent service love the fact that it s bundled w/ prime makes primes an even greater bargain the service itself is useable the music selection is not as vast as other services and the audio quality for some reason is only so so love the playlists and the ability to download music for offlilne streamline those are must have for any music streaming services hopefully artists and content will increase with time impossible to give a bad review to free service to prime subscribers but i wouldn t mind paying an extra few bucks a month if the issues noted above were addressed "
"12","Amazon","mynumberoneusedapp","JSmooth333","July 23, 2017",5,"idk if i could live without this app "
"13","Amazon","five stars","Nasrebmor","October 7, 2017",5,"cool music "
"14","Amazon","stream music","K Bryson","May 14, 2016",5,"absolutely love amazon prime music it s very easy to navigate between different music styles where you can listen or skip and save your preferences with 1 tap they of course have updates regular to add all the newest songs"
"15","Amazon","fiddle y and annoying maybe it s better from my chromebook","Kaye","June 19, 2017",2,"tweaky kept having to back out of the app to change stations fiddle y and annoying maybe it s better from my chromebook but on my phone the app was a pita and i probably won t use it "
"16","Amazon","three stars","Ryan H.","May 5, 2017",3,"works well"
"17","Amazon","five stars","Amazon Customer","March 11, 2017",5,"great music"
"18","Amazon","works well","Joseph","June 13, 2017",5,"works well"
"19","Amazon","five stars","Amazon Customer","November 10, 2017",5,"good value for prime members"
"20","Amazon","great all the way around","LetTheSunShine","November 20, 2013",5,"great songs sound and great price not only all that but you earn as you buy i earned one song of my choice for buying this cd and the song you pick automatically just downloads to any device you want it too oh first install this mp3 on your device i installed it on my android phone"
"21","Amazon","works great","Smiley","May 22, 2017",5,"works great i use it "
"22","Amazon","love this","Elaine","July 21, 2017",5,"i can listen anywhere to the music i ve already selected love this "
"23","Amazon","better than itunes","Amazon Customer","December 2, 2016",5,"amazon music is so easy and is much better than itunes in many ways the only downfall is that my christian artists do not do as much with amazon music and other than that i downgraded my itunes account and am doing amazon now we are going to buy the echo dot and love the whole alexa thing better than siri "
"24","Amazon","avoid this at all costs","Paulette","December 20, 2016",1,"i gave it one star because i could not give it zero nothing works on this system the help desk is not useful either and the software is anything but user friendly i would pass this up along with echo which is the worst purchase i ever made do not take it even if offered for free "
"25","Amazon","amazon music for android","Amazon Customer","June 2, 2017",2,"i plan to work with it a little more but so far am not impressed too complex too many steps involved to listen to music in spite of the emails telling me was a great offering is available to me as a prime member pandora is much simpler and user friendly "
"26","Amazon","five stars","Callie G.","July 15, 2017",5,"good music"
"27","Amazon","five stars","al3mdah","September 4, 2017",5,"excellent"
"28","Amazon","excellent","T. Ramos","August 9, 2017",5,"excellent"
"29","Amazon","five stars","Larry Bakken","October 14, 2017",5,"very nice"
"30","Amazon","five stars","Susumu Muraoka","May 15, 2017",5,"it very good"
"31","Amazon","i use everyday","Amazon Customer","May 16, 2017",5,"i love this app"
"32","Amazon","shame shame shame","Ken","August 8, 2017",1,"i can t get it to work it keeps trying to use my uk account instead of my us prime account customer service was less than helpful it s a real shame "
"33","Amazon","five stars","Mary W.","July 14, 2017",5,"i love music this is the best app"
"34","Amazon","if if if this were accessible by dial in it would be great but it s not so sorry i m not rich enough for data usage","Peaceiscoming","January 15, 2017",1,"if if if this were accessible by dial in it would be great but it s not so sorry when will all the radio and music industry ever learn that not everybody on planet earth can afford giga bite upon giga bites to download simple music to enjoy go get a life in the real world out here will ya "
"35","Amazon","five stars","Laura R. Garza","March 1, 2017",5,"nice jams "
"36","Amazon","five stars","Erica","November 1, 2016",5,"easy to use great selection "
"37","Amazon","it s nice that comes for free but not as good as other music streaming services","Mdobber22","September 7, 2016",3,"it s okay they have a pretty good music selection that s my expense or at least with the music listen to spotify it has more options youtube red has even more but youtube can be annoying because the videos take up a lot of space if you re saving them offline but its nice that this comes with prime because i would get prime anyways "
"38","Amazon","best part of prime","ZeldaBarbie99","November 6, 2015",5,"best thing for my morning walks with a busy baby and wild husky i download songs at home before i leave so i don t get charged data by my wireless carrier for the price of free the music selection is amazing i have music for working out morning walks putting my baby to bed studying calming anxiety attacks and music to get me though long road trips as long as amazon keeps this feature we will keep purchasing prime "
"39","Amazon","solar escape outback men s uv hat","Pat Clark","May 16, 2017",5,"love the music "
"40","Amazon","good content","Jonathan Hansen","March 1, 2017",5,"user friendly good content "
"41","Amazon","amazon music with prime music is a great addition to my prime account","Amazon Customer","March 1, 2015",5,"amazon music with prime music is a great addition to my prime account it provides a very nice selection of all types of music and the ability to select individual tracks well done amazon "
"42","Amazon","five stars","mac","July 25, 2017",5,"all good"
"43","Amazon","love it","Hrmason","September 13, 2017",5,"love it "
"44","Amazon","best selection","Mb","August 10, 2017",5,"love it "
"45","Amazon","five stars","Hagsgirl","July 20, 2017",5,"love amazon music"
"46","Amazon","five stars","Magino","September 7, 2017",5,"very easy to use and great selection "
"47","Amazon","wth","Renae Brannon","April 15, 2017",2,"why is this app not working at all?"
"48","Amazon","its free","Tigerman","March 2, 2017",5,"its free"
"49","Amazon","five stars","LALA","April 28, 2017",5,"love site"
"50","Amazon","i wasn t sure if i needed to subscribe to prime as i don t have a way to connect my phone to the tv to enjoy instant prime movie","Regi","April 15, 2015",5,"i started out by taking advantage of the prime 30 day free trial i wasn t sure if i needed to subscribe to prime as i don t have a way to connect my phone to the tv to enjoy instant prime movies i don t have a gaming device then as i was learning more about prime music the rest is history i am now a prime member maybe before my membership runs out i will have some kind of device to view thru my tv thanks again love amazon and prime amazon keep up the good work"
"51","Amazon","good all around source for music","Amazon Customer","April 6, 2017",4,"pretty good availability not all choices available are the original musicians or versions of particular songs you probably can purchase them on my laptop the playlist is a little hard to edit "
"52","Amazon","five stars","Smoke","June 20, 2017",5,"good app"
"53","Amazon","bb no longer supported","9310 DMO","March 23, 2016",1,"i always gave great credit to amazon for doing its part to make android apps available for the blackberry os no longer i have reason to own a bb10 os device which does have the ability to run android apps but only if the vendor allows the app to be downloaded which in this case amazon no longer allows i m dumping my amazon prime subscription and giving the money to spotify "
"54","Amazon","five stars","David Yeager","April 30, 2017",5,"perfect"
"55","Amazon","i love amazon music","kratomlife","June 3, 2016",5,"my go to when i drive i love the music selection i was also happily surprised when i got a message last week that the new bob dylan was out i promptly downloaded it i truly dig the stations and suggested music "
"56","Amazon","how cool is that","Cali dude","November 22, 2016",4,"you can think of a lot of songs and then they are there for almost free how cool is that no cd s no tapes no records just right there not all music shows up but the majority of the time i find what i am looking for the search could be more easier but perhaps it is my searching technique ; )"
"57","Amazon","works for me","Only Grace","November 15, 2016",4,"works well on my smart phone not comparing it to itunes or any other provider as a stand alone product i use it with audio cds purchased and i can download with prime in 5 seconds i use it daily no measure of sound quality etc simply works for me use phone open amazon player hear my music grateful "
"58","Amazon","five stars","Roy Franklin","July 19, 2017",5,"love it"
"59","Amazon","five stars","Silvia M.","June 3, 2017",5,"it s so nice "
"60","Amazon","great product","John","March 18, 2017",5,"great product"
"61","Amazon","four stars","Dale Saunders","August 23, 2017",4,"quality sound without commercials and good choices i would like to see more stations posted without having to search "
"62","Amazon","four stars","maryshawki","April 21, 2017",4,"love it"
"63","Amazon","great choices works perfect on my phone","dl","August 12, 2017",5,"great choices works perfect on my phone"
"64","Amazon","bad on a current device but why would i put this on a current device?","JR","August 20, 2015",1,"i can t give negative stars or else i would there is no reason this product needs android beyond 2 1 the best use for a old phone or device is to put it in a corner as a music player but this requires that you be on the most current version of android useless app it needs far too many permissions and is a data hog i believe that is why they want the more current android in order to assure they are on my current device "
"65","Amazon","okay just checked my drive which i just reloaded 3","Amazon Customer","September 14, 2017",2,"okay just checked my drive which i just reloaded 3 days ago on a 12gb drive per month allowance that i end up with time left i now have 10gb left after 2 1/2 days when you have to open apps to run other apps"
"66","Amazon","best streaming music service i ve found","David G.","July 9, 2015",5,"it is lacking many features for sorting or searching for duplicates etc but i m loving having such a huge library included with my prime account i look forward to continuing to develop the apps to have more features i d like to see i ve tried several other streaming services and have not been satisfied at all from constantly crashing my devices to not syncing between computer and devices been using prime music for weeks now with no issues at all "
"67","Amazon","five stars","edwin lawson","March 15, 2017",5,"awesome"
"68","Amazon","five stars","YAYE BONILLA","October 25, 2017",5,"works"
"69","Amazon","five stars","Zann","July 21, 2017",5,"great"
"70","Amazon","five stars","Mama Cat","June 10, 2017",5,"great"
"71","Amazon","five stars","Russell White","March 4, 2017",5,"great"
"72","Amazon","new update is broken update new new update even more broken","Jeremy","December 16, 2013",1,"i ve used this app for nearly 2 years and it s been great i love my amazon cloud drive and have most of my music uploaded to the cloud drive unfortunately the recent update to this app is broken if you are listening to music and then go use another app then the music will randomly stop playing at some point so this app is great if you are only going to listen to music and not use your device for any other apps i m back to using the system music player for now my device is a samsung galaxy s3 update i tried to create a new review which doesn t work still only 1 star though since i can t give the app negative stars the new amazon mp3 app is essentially unusable you ve never been able to set the download location to download music to the sd card but at least with the old amazon mp3 app you could copy downloaded music to the sdcard this is such a fundamentally flawed design choice that it really makes me question amazon s focus on what customer s want however now it s even worse with this new piece of crap app which 1) keeps defaulting to using prime music when you open the app but 2) even worse when you download music and copy it to the sdcard it won t see your music even if it s in the same folder i ve also found when i did briefly use this new version of the app that it crashed pretty regularly i m using a samsung galaxy s4 oh well at least the google music app continues to just work can i give that app a 5 star review on amazon? ;)"
"73","Amazon","four stars","Ralph","November 14, 2017",4,"wokks"
"74","Amazon","three stars","andrew","June 4, 2017",3,"ok app"
"75","Amazon","five stars","Karnage","September 1, 2017",5,"love it move over pandora"
"76","Amazon","being old i saw the birth of","Ole Fart","March 10, 2016",5,"being old i saw the birth of the 8 track player the cassette then the cd dvd and now the cloud what will they think of next? think i forgot about the mp3 not sure where it fits personally i don t have one least not that i m aware of i should probably rent a little kid between say 8 and 10 they know more about this stuff than 20 adults over 65 "
"77","Amazon","five stars","William K. Lee","August 11, 2017",5,"works great "
"78","Amazon","it s good","Raymond J. Lawson III","January 20, 2016",3,"on a small device it is hard to navigate it also does not remember what you did the last time you were on so you have to repeat everything sometimes slow to load and buffering issues but that may also be the fault of my provider overall it s good "
"79","Amazon","not happy with music app","CINDY H.","October 19, 2016",1,"prime member for now but renewal is due soon can not download music app can not listen to my amazon music don t care about audible or free books amazon is slipping no star deserved "
"80","Amazon","five stars","roy","March 19, 2017",5,"good"
"81","Amazon","five stars","joyce norris","May 3, 2017",5,"love"
