"","prod","title","author","date","stars","comments"
"1","Spotify","spotify is great","brittkne","October 7, 2017",5,"spotify is way way way way way way better music app than pandora it doesn t limit you on the musicians you actually like with awful musicians with a few of your favorite songs peppered in between garbage pail cousin music and brown water trash one hit wonders spotify let s you play whole albums and let s you make custom and endless playlists "
"2","Spotify","love this app","Vickie","July 31, 2016",5,"i love this app i put it on my phone first but i had so much music it was taking up all the room on my phone i deleted it and thought i had lost all my music but when i downloaded spotify to my tablet all my music had been saved and i still was able to access it it is different than pandora in that you only get music from the artists you select if you click follow you will receive new songs for that artist as they come in there is a free version without too many ads and a paid version right now i have the free version but i am thinking about purchasing the paid version either way you have access to lots of great music from your favorite artists "
"3","Spotify","novice","Linda Burton","April 4, 2017",5,"i love love love spotify i m 71 years and no very computer literate if i can learn spotify anyone can i have found songs i used to listen to 55 years ago "
"4","Spotify","the ony music app you neec","Chris Johnson","March 7, 2017",5,"i love this app i ve tried them all and nothing compares the suggestions are awesome i m finding new music all the time also you can pick up where you left off on any device spotify is the best period "
"5","Spotify","great for metal fans ","Kindle Customer","November 13, 2017",5,"i love this app so much i can listen to music and i can trust that the bands i like are getting paid for their work so much better than buying itunes or using youtube for music as a heavy metal fan some of the bands i like are less popular but i can find them all here i am amazed some local and lesser known bands are featured on this service it makes me glad that the ad revenue goes to supporting them in making more great music for my enjoyment "
"6","Spotify","best music app ever ","Ann Manhire","April 29, 2017",5,"great for listening to your favorite tunes and discovering new ones as well"
"7","Spotify","i love it","Lara","April 24, 2017",5,"it is such a good app i fecomed this to anyone who love music"
"8","Spotify","best choice for music","Jesse","October 14, 2017",5,"listening to music on demand has never been better than it is with spotify the app not only provides access to thousands of classic tracks but it provides great recommendations for music you might like based on your listening history highly recommended "
"9","Spotify","great app ","Amazon Customer","June 7, 2017",5,"i really like being able to pull up my favorite songs and adding them to a playlist i also really like how it recommends new music for me based on what i already listen to "
"10","Spotify","awesome ","Michael Crow","December 27, 2016",5,"this literally has almost every song i have ever searched plus offline mode is amazing "
"11","Spotify","amazing","Kasey Minor","November 10, 2017",5,"i love spotify very good quality and good songs very easy to use "
"12","Spotify","awesome music","carl simms","April 10, 2016",5,"this app is wonderfully diverse in its music content you can create your own playlist or listen to individual songs typing in an artist name reveals lots of albums and hit songs "
"13","Spotify","amazing app ","Amazon Customer","June 4, 2017",5,"this app is amazing and you don t even have to get a premium account to get access to great music "
"14","Spotify","better than pandora","Jackie C","July 13, 2016",5,"i switched to spotify from pandora because i wanted to be able to choose the songs i wanted on my playlists while still having the option to create radio stations like on pandora they have a huge variety so pretty much any song you re looking for they ll have the radio stations tend to play a lot of the same songs over and over i use the paid version so i don t have to listen to ads when i workout and i ll continue to do so "
"15","Spotify","can t live without it ","Anna Morrison","January 8, 2017",5,"can t live without iit it has opened up my musical perspectives so much the discovery weekly playlist is so awesomely selected i fell spotify knows me "
"16","Spotify","it s great ","Olivia","April 24, 2017",5,"i love it especially if ur on a kindle fire like me bc u have unlimited skips but there are some ads i m listening to it right know "
"17","Spotify","five stars","Carolyn Pauli","November 12, 2017",5,"great"
"18","Spotify","5 stars","Andy","October 5, 2016",5,"best music app i ve tried ads are not played often and you can disable them if you pay "
"19","Spotify","five stars","Melanie","November 12, 2017",5,"love the variety "
"20","Spotify","worth it","Kindle Customer","December 27, 2014",4,"i love that i can choose from a wide variety of music and don t have to be locked in on a certain style"
"21","Spotify","love it goodbye pandora ","Eva Christina Gray","December 28, 2015",5,"my dad listened to spotify all the time so i tried the free version and have had no problem at all you can download a lot of songs and listen to your own playlist or somebody else s playlist no more pandora for me "
"22","Spotify","wish i could hold and drag songs/playlists to order/re order like on the pc version but for my kindle","Amazon Customer","January 26, 2017",5,"wish i could hold and drag songs/playlists to order/re order like on the pc version but for my kindle but that s nothing to lose a star over still the best out there "
"23","Spotify","great music app","Denise Pribil","October 26, 2017",5,"great app has every kind of music that you like you can find a lot of great songs that you would not have found before also you can listen to old music or new music "
"24","Spotify","five stars","Susan Hobson","August 28, 2017",5,"love spotify❤️"
"25","Spotify","the discover playlist is your answer for new music ","Richard Huczko","February 11, 2016",5,"i don t know what to say i m a spotify fiend with a premium membership i can hear anything i want and any songs that i happen to love but the weekly discover playlist keeps me coming back because i m incapable of finding new music on my own "
"26","Spotify","very good app","MashyTater","April 9, 2017",5,"this is a very good app i ve used it for about 2 years now my only issue is how often there s an ad but that won t stop you from singing in the shower "
"27","Spotify","best music app","Yaritza Abdelnour","September 13, 2015",5,"this app has the most variety of music available that i have seen in any app and it is so efficient the playlists you create can be played offline as long as you have a premium plan which compared to other music apps are very affordable i would reccommend spotify for everyone "
"28","Spotify","i fux with spotify","i.wiley","August 15, 2017",5,"my only choice for music listening"
"29","Spotify","awesome app","Kindle Customer","July 12, 2017",5,"this app is awesomelalalala yay yay yay yay yay yay"
"30","Spotify","good service great app disappointing business model","Amazon Customer","September 8, 2015",4,"the app is great nice design and interface it s easy to learn and a good service but i would appreciate the same functionality between tablet and phone i think it s a bit inconvenient that my phone/phablet doesn t have the same access to songs without shuffle as a tablet does "
"31","Spotify","best music app i ve ever used ","B. Mohnkern","August 31, 2015",4,"spotify is great and i do have a premium account for greater mobile listening and no ads my only complaint is that for unknown playlists is hard for friends of mine to find unless i send them the playlist small complaint and i definitely love using spotify "
"32","Spotify","simple","Kindle Customer","June 5, 2016",5,"simple and it works "
"33","Spotify","first name greatest last name ever middle name music app ","Simoman","March 28, 2017",5,"best app for music ever"
"34","Spotify","small bug otherwise great app","Sarah","October 15, 2014",4,"there s a small issue i have a lot of times it will not allow tracks to be played or will say a track is playing but i only hear silence that and once it wouldn t let me share to facebook i haven t tried since great quality sound though and i love the wide open variety wouldn t want an app that only has pop rap and country :p love it"
