"","prod","title","author","date","stars","comments"
"1","iHeartRadio","amazing ","susieq","July 3, 2016",5,"i love this i heart radio app have been listening to it every day the variety is perfect for a change of pace from standard radio stations i can fit the music to the activity i want any given day love it :)"
"2","iHeartRadio","good but frequently malfunctions","Thrisha Nesbitt","April 11, 2014",3,"this is a good app when it works i have reinstalled this app several times but it continues to freeze refuses to start and takes long periods of time to buffer i have tried not signing in signing in using email and tying this app to my facebook but it has the same glitches accross the board its a decent app for free but if you have some free cash i would advise looking for a better music app "
"3","iHeartRadio","music to my ears","J. Carver","November 12, 2017",4,"good radio"
"4","iHeartRadio","weird mix sometimes","didisparkles","September 21, 2013",4,"love the commercial free app sometimes there is a 30 second ad at the beginning then that s it for hours i don t like that you can only skip so many times a day because sometimes there is some really horrid stuff "
"5","iHeartRadio","i go walking at the y about 4 times a ","Kaye Vaughn-Bentley","July 27, 2017",5,"i go walking at the y about 4 times a week and the music makes it so much more enjoyable "
"6","iHeartRadio","five stars","2BNLove","November 2, 2017",5,"love"
"7","iHeartRadio","love this app","Shealaun Neilson","November 7, 2016",5,"love this app so much better than pandora i love that i can listen to my favorite radio host since she know longer is broadcast in utah thank you and love delilah "
"8","iHeartRadio","love it","Forgiven","June 5, 2015",4,"pick stations artists or songs and hit play it s that easy plus it remembers what u like and plays similar stuff "
"9","iHeartRadio","great app","Skyler","October 27, 2015",5,"excellent app works well and streams well even in the background with other apps running love the customization that it offers the app learns what music u actually like through your ratings so rate what you like and the stations will cater well to you "
"10","iHeartRadio","would be great","I. OLeary","April 30, 2013",4,"i loved this app at first especially after switching from pandora to this it seemed to have all the same functions plus you could stream internet stations as well but after a while i noticed some songs are censored there is a setting for explicit content but it just keeps you from using custom stations other than that its a pretty great replacement for pandora and its free with no limits also you dont need facebook i dont have it and i have saved custom stations"
"11","iHeartRadio","four stars","Ralph","July 24, 2017",4,"great radio app just wish i could get local ball games "
"12","iHeartRadio","may work for others","Bill","August 1, 2015",2,"just not for me"
"13","iHeartRadio","five stars","Michael DiDonato","January 7, 2017",5,"love it"
"14","iHeartRadio","not impressed ","terrbearr","March 14, 2015",3,"not a real big fan of this app if i want commercials i can listen to the radio in my car the way everyone talked about it i had to try it maybe i just haven t found the right radio station"
"15","iHeartRadio","nice option","Tom","December 2, 2015",5,"work s well good variety of stations and styles of music i can turn on whatever kind of programming that i m in the mood for and not have to listen to whatever automated crap that the record labels and station owners decide is popular "
