"","prod","title","author","date","stars","comments"
"1","Spotify","spotify is great","brittkne","October 7, 2017",5,"Spotify is way, way, way, way, way, way better music app than Pandora. It doesn't limit you on the musicians you actually like with awful musicians with a few of your favorite songs peppered in between garbage pail cousin  music and brown water trash one hit wonders. Spotify let's you play whole albums and let's you make custom and endless playlists."
"2","Spotify","Love this app","Vickie","July 31, 2016",5,"I love this app. I put it on my phone first, but I had so much music it was taking up all the room on my phone. I deleted it and thought I had lost all my music, but when I downloaded Spotify to my tablet, all my music had been saved and I still was able to access it. It is different than Pandora in that you only get music from the artists you select. If you click follow, you will receive new songs for that artist as they come in. There is a free version without too many ads and a paid version. Right now I have the free version, but I am thinking about purchasing the paid version. Either way, you have access to lots of great music from your favorite artists."
"3","Spotify","Novice","Linda Burton","April 4, 2017",5,"I love, love, love spotify !!!!! I'm 71 years and no very computer literate, if I can learn Spotify anyone can. I have found songs I used to listen to 55 years ago."
"4","Spotify","The ony music app you neec","Chris Johnson","March 7, 2017",5,"I love this app. I've tried them all (apple, amazon, pandora) and nothing compares. The suggestions are awesome, I'm finding new music all the time. Also, you can pick up where you left off on any device. Spotify is the best, period."
"5","Spotify","Great for metal fans!","Kindle Customer","November 13, 2017",5,"I love this app so much. I can listen to music and I can trust that the bands I like are getting paid for their work. (I use the free version so I experience the occasional ad) So much better than buying iTunes or using youtube for music. As a heavy metal fan some of the bands I like are less popular but I can find them all here. I am amazed some local and lesser known bands are featured on this service. It makes me glad that the ad revenue goes to supporting them in making more great music for my enjoyment."
"6","Spotify","BEST. MUSIC APP. EVER.","Ann Manhire","April 29, 2017",5,"Great for listening to your favorite tunes and discovering new ones as well"
"7","Spotify","I love it","Lara","April 24, 2017",5,"It is such a good app I fecomed this to anyone who love music"
"8","Spotify","Best Choice for Music","Jesse","October 14, 2017",5,"Listening to music on demand has never been better than it is with Spotify. The app not only provides access to thousands of classic tracks, but it provides great recommendations for music you might like based on your listening history. Highly recommended!"
"9","Spotify","Great app!","Amazon Customer","June 7, 2017",5,"I really like being able to pull up my favorite songs and adding them to a playlist. I also really like how it recommends new music for me based on what I already listen to."
"10","Spotify","awesome!","Michael Crow","December 27, 2016",5,"this literally has almost every song i have ever searched. plus offline mode is amazing!!"
"11","Spotify","Amazing","Kasey Minor","November 10, 2017",5,"I love Spotify!! Very good quality and good songs!! Very easy to use!!!"
"12","Spotify","Awesome music","carl simms","April 10, 2016",5,"This app is wonderfully diverse in its music content. You can create your own playlist or listen to individual songs. Typing in an artist name reveals lots of albums and hit songs."
"13","Spotify","Amazing app!","Amazon Customer","June 4, 2017",5,"This app is amazing and you don't even have to get a premium account to get access to great music!"
"14","Spotify","Better than Pandora","Jackie C","July 13, 2016",5,"I switched to Spotify from Pandora because I wanted to be able to choose the songs I wanted on my playlists while still having the option to create radio stations like on Pandora. They have a huge variety, so pretty much any song you're looking for, they'll have. The radio stations (created based on artists) tend to play a lot of the same songs over and over. I use the paid version so I don't have to listen to ads when I workout, and I'll continue to do so."
"15","Spotify","Can't live without it!!","Anna Morrison","January 8, 2017",5,"Can't live without iit!! It has opened up my musical perspectives so much & the Discovery Weekly playlist is so awesomely selected, I fell Spotify knows me!"
"16","Spotify","It's Great!!","Olivia","April 24, 2017",5,"I love it especially if ur on a kindle fire like me bc u have unlimited skips but there are some ads I'm listening to it right know!"
"17","Spotify","Five Stars","Carolyn Pauli","November 12, 2017",5,"great"
"18","Spotify","5 stars","Andy","October 5, 2016",5,"Best music app I've tried.  Ads are not played often and you Can disable them if you pay."
"19","Spotify","Five Stars","Melanie","November 12, 2017",5,"Love the variety!"
"20","Spotify","worth it","Kindle Customer","December 27, 2014",4,"I love that I can choose from a wide variety of music.and don't have to be locked in on a certain style"
"21","Spotify","Love it. Goodbye pandora.","Eva Christina Gray","December 28, 2015",5,"My dad listened to spotify all the time, so I tried the free version (i have a fire tablet hd 8 edition 5) and have had no problem at all. You can download a lot of songs and listen to your own playlist, or somebody else's playlist. No more pandora for me."
"22","Spotify","Wish I could hold and drag songs/playlists to order/re-order like on the PC version but for my kindle","Amazon Customer","January 26, 2017",5,"Wish I could hold and drag songs/playlists to order/re-order like on the PC version but for my kindle. But that's nothing to lose a star over. Still the best out there."
"23","Spotify","Great Music App","Denise Pribil","October 26, 2017",5,"Great app, has every kind of music that you like. You can find a lot of great songs that you would not have found before. Also you can listen to old music or new music."
"24","Spotify","Five Stars","Susan Hobson","August 28, 2017",5,"Love Spotify❤️"
"25","Spotify","The discover playlist is your answer for new music.","Richard Huczko","February 11, 2016",5,"I don't know what to say. I'm a spotify fiend with a premium membership. I can hear anything I want and any songs that I happen to love, but the weekly discover playlist keeps me coming back because I'm incapable of finding new music on my own."
"26","Spotify","Very good app","MashyTater","April 9, 2017",5,"This is a very good app,I've used it for about 2 years now, my only issue is how often there's an ad but that won't stop you from singing in the shower!"
"27","Spotify","Best Music App","Yaritza Abdelnour","September 13, 2015",5,"This app has the most variety of music available that I have seen in any app and it is so efficient. The playlists you create can be played offline as long as you have a premium plan which, compared to other music apps, are very affordable. I would reccommend Spotify for everyone."
"28","Spotify","I fux with spotify","i.wiley","August 15, 2017",5,"My only choice for music listening"
"29","Spotify","Awesome app","Kindle Customer","July 12, 2017",5,"This app is awesomeLalalala yay yay yay yay yay yay"
"30","Spotify","Good service, great app, disappointing business model","Amazon Customer","September 8, 2015",4,"The app is great. Nice design and interface. It's easy to learn and a good service, but I would appreciate the same functionality between tablet and phone. I think it's a bit inconvenient that my phone/phablet doesn't have the same access to songs without shuffle, as a tablet does."
"31","Spotify","Best music app I've ever used.","B. Mohnkern","August 31, 2015",4,"Spotify is great, and I do have a Premium account for greater mobile listening and no ads.  My only complaint is that for unknown playlists (such as one I made) is hard for friends of mine to find unless I send them the playlist.  Small complaint, and I definitely love using Spotify."
