"","prod","title","author","date","stars","comments"
"1","iHeartRadio","Amazing !","susieq","July 3, 2016",5,"I love this I heart radio app. Have been listening to it every day . The variety is perfect for a change of pace from standard radio stations. I can fit the music to the activity I want any given day. Love it ! :)"
"2","iHeartRadio","Good but Frequently Malfunctions","Thrisha Nesbitt","April 11, 2014",3,"This is a good app.... when it works. I have reinstalled this app several times but it continues to freeze, refuses to start, and takes long periods of time to buffer. I have tried not signing in, signing in using email and tying this app to my Facebook but it has the same glitches accross the board. Its a decent app for free, but if you have some free cash I would advise looking for a better music app."
"3","iHeartRadio","music to my ears","J. Carver","November 12, 2017",4,"good radio"
"4","iHeartRadio","weird mix sometimes","didisparkles","September 21, 2013",4,"Love the commercial free app. Sometimes there is a 30 second ad at the beginning then that's it for hours. I don't like that you can only skip so many times a day because sometimes there is some really horrid stuff."
"5","iHeartRadio","I go walking at the ""Y"" about 4 times a ...","Kaye Vaughn-Bentley","July 27, 2017",5,"I go walking at the ""Y"" about 4 times a week, and the music makes it so much more enjoyable!"
"6","iHeartRadio","Five Stars","2BNLove","November 2, 2017",5,"Love"
"7","iHeartRadio","Love this app","Shealaun Neilson","November 7, 2016",5,"Love this app! So much better than Pandora!  I love that I can listen to my favorite radio host since she know longer is broadcast in Utah. Thank you and love Delilah!"
"8","iHeartRadio","love it","Forgiven","June 5, 2015",4,"Pick stations, artists or songs and hit play it's that easy. Plus it remembers what u like and plays similar stuff!!"
"9","iHeartRadio","Great App","Skyler","October 27, 2015",5,"Excellent app! Works well, and streams well even in the background with other apps running. Love the customization that it offers. The app learns what music u actually like through your ratings. So rate what you like, and the stations will cater well to you."
"10","iHeartRadio","would be great","I. OLeary","April 30, 2013",4,"i loved this app at first especially after switching from pandora to this it seemed to have all the same functions plus you could stream internet stations as well but after a while i noticed some songs are censored. there is a setting for explicit content but it just keeps you from using custom stations other than that its a pretty great replacement for pandora and its FREE WITH NO LIMITS!!! ALSO YOU DONT NEED FACEBOOK.i dont have it and i have saved custom stations"
"11","iHeartRadio","Four Stars","Ralph","July 24, 2017",4,"Great Radio app. Just wish I could get local ball games."
"12","iHeartRadio","may work for others","Bill","August 1, 2015",2,"just not for me"
"13","iHeartRadio","Five Stars","Michael DiDonato","January 7, 2017",5,"love it"
"14","iHeartRadio","Not impressed.","terrbearr","March 14, 2015",3,"Not a real big fan of this app.  If I want commercials I can listen to the radio in my car. The way everyone talked about it, I had to try it. Maybe I just haven't found the right radio station(s)"
